Filename852-delno	Pade v menu	CategoryTag	Tag1	Področje	Tag3	Podlaga	Tehnika	Tag6	Tag7	Tag8	Tag9
videonadzor soseda njihove stavbe,29.5.2018.odt	IP RS | Mnenja IP	Mnenje IP					Videonadzor				
videonadzor v lokalu.odt	IP RS | Mnenja IP	Mnenje IP					Videonadzor				
videonadzor v τoli.odt	IP RS | Mnenja IP	Mnenje IP		Šolstvo			Videonadzor				
videonadzor_14.6.2018.odt	IP RS | Mnenja IP	Mnenje IP					Videonadzor				
vpliv GDPR na SISBON - mnenje MLO.odt	IP RS | Mnenja IP	Mnenje IP	GDPR								
vpogled v lastne op,13.6.2018.odt	IP RS | Mnenja IP	Mnenje IP						dostop do podatkov		vpogled	
vpraτanja_GDPR_mnenje_Nuτa_5.7.18.odt	IP RS | Mnenja IP	Mnenje IP	GDPR								
zakonitost obdelave OP (storitve ravnanja z odpadki).odt	IP RS | Mnenja IP	Mnenje IP						zakonitost			
zasebnost v vrtcu.odt	IP RS | Mnenja IP	Mnenje IP									
zavarovalnica in zdravstveni kartoni.odt	IP RS | Mnenja IP	Mnenje IP						zavarovalnica			Zdravstvo
Zavarovanje osebnih podatkov -MNENJE.odt	IP RS | Mnenja IP	Mnenje IP							varnost podatkov		
Zbiranje EMµO in Dµ s strani upravnika.odt	IP RS | Mnenja IP	Mnenje IP			EMŠO						
ƒestitanje roj.dnevov v javnem zavodu.odt	IP RS | Mnenja IP	Mnenje IP	javni zavod								
(anketni vpraτalniki za paciente po e-poτti)_(M)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP		Zdravstvo							
(NA SPLETU) (vodenje zobozdravstvenega kartona).odt	IP RS | Mnenja IP	Mnenje IP									Zdravstvo
(NA SPLETU) branje odpustnice, ko zdravnik ni prisoten ali dosegljiv_(M)_Brulc.odt	IP RS | Mnenja IP	Mnenje IP									Zdravstvo
(NA SPLETU) DPO_(M)_Novak.odt	IP RS | Mnenja IP	Mnenje IP			DPO						
(NA SPLETU) Facebook oglaτevanje in pogodbena obdelava_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP	Facebook		pogodbena obdelava			oglaševanje			
(NA SPLETU) GDPR_ozemljska veljavnost_(M)_Deljanin.odt	IP RS | Mnenja IP	Mnenje IP	GDPR		ozemeljska veljavnost						
(NA SPLETU) klub zvestobe in OP novinarjev.odt	IP RS | Mnenja IP	Mnenje IP			klub zvestobe					novinarstvo	
